phenotype,trait_type,mean_fitness_value,mean_across_category
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed width,LH,5.259,
seed yield,LH,7.815,
seed yield,LH,7.815,
seed yield per plant,LH,7.815,
seed yield pp,LH,7.815,
seed yield pp,LH,7.815,
seeds per fruit,LH,8.258,
seeds per fruit,LH,8.258,
seeds per fruit,LH,8.258,
seeds per fruit,LH,8.258,
seeds per fruit,LH,8.258,
seeds per fruit,LH,8.258,
seeds per pod,LH,8.258,
seeds per pod,LH,8.258,
seeds per pod,LH,8.258,
seeds per pod,LH,8.258,
sexual activity,LH,7.667,
sperm length,LH,5.333,
sperm receptacle length,LH,5.643,
straw yield per plant,LH,7.815,
straw yield per plant,LH,7.815,
style length,LH,6.032,
survival,LH,9,
survival to eating high salinity,LH,8.367,
survival to eating low salinity,LH,8.367,
tassel length (cm),LH,6.032,
tassel length (cm),LH,6.032,
tassel length (cm),LH,6.032,
tassel length (cm),LH,6.032,
tassel length (cm),LH,6.032,
tassel length (cm),LH,6.032,
tassel length (cm),LH,6.032,
tassel length (cm),LH,6.032,
tassel length (cm),LH,6.032,
tassel length (cm),LH,6.032,
tassel length (cm),LH,6.032,
tassel length (cm),LH,6.032,
tassel length (cm),LH,6.032,
tassel length (cm),LH,6.032,
tassel length (cm),LH,6.032,
tassel length (cm),LH,6.032,
tassel length (cm),LH,6.032,
time to find food,LH,6.607,
time to first feeding,LH,6.231,
time to first feeding,LH,6.231,
time to flowering (anthesis),LH,6.6,
time to germination ,LH,6.968,
viability,LH,8.667,
viability,LH,8.667,
viability,LH,8.667,
viability with high food,LH,8.667,
viability with high food,LH,8.667,
viability with high food,LH,8.667,
viability with high food,LH,8.667,
viability with high food,LH,8.667,
viability with high food/propionic acid,LH,8.667,
viability with high food/propionic acid,LH,8.667,
viability with high food/propionic acid,LH,8.667,
viability with high food/propionic acid,LH,8.667,
viability with high food/propionic acid,LH,8.667,
viability with low food,LH,8.667,
viability with low food,LH,8.667,
viability with low food,LH,8.667,
viability with low food,LH,8.667,
viability with low food,LH,8.667,
yield,LH,7.815,
yield,LH,7.815,
yield,LH,7.815,
